category,skip_rate,analysis_type
0,0.0,hourly
1,1.1673151750972763,hourly
2,0.0,hourly
3,0.5030181086519114,hourly
4,0.4405286343612335,hourly
5,0.3673094582185491,hourly
6,0.3225806451612903,hourly
7,0.23752969121140144,hourly
8,0.3940886699507389,hourly
9,0.6609385327164574,hourly
10,0.13908205841446453,hourly
11,0.11627906976744186,hourly
12,0.0,hourly
13,0.0,hourly
14,0.16393442622950818,hourly
15,0.0,hourly
16,0.0,hourly
17,0.0,hourly
18,0.0,hourly
19,0.0,hourly
20,0.0,hourly
21,0.0,hourly
22,0.0,hourly
23,0.0,hourly
0,0.06722689075630252,daily
1,0.061293288384921846,daily
2,0.5385996409335727,daily
3,0.3620803159973667,daily
4,0.319375443577005,daily
5,0.04317789291882556,daily
6,0.033288948069241014,daily
0,0.27209121534076186,weekend
1,0.03759398496240602,weekend
0-1min,0.21009479887266208,time_bin
1-5min,1.107011070110701,time_bin
5-10min,0.0,time_bin
10-30min,0.0,time_bin
30-60min,0.0,time_bin
60min+,0.0,time_bin
0-1min,0.9545454545454546,time_to_next
1-5min,0.045454545454545456,time_to_next
5-10min,0.0,time_to_next
10-30min,0.0,time_to_next
30-60min,0.0,time_to_next
60min+,0.0,time_to_next
overall,0.002119868953555598,summary
total_interactions,20756.0,summary
total_skips,44.0,summary
