Caption,Option 1,Option 2,Sponsor?,id,UGC?
For an app…,Want personalized features even though personal data is collected,Generic functionality but no data collection,TRUE,SnapInput,FALSE
,Always feel too hot,Always feel too cold,FALSE,n/a,FALSE
,Speak a new language fluently,Talk to an animal,FALSE,n/a,FALSE
,Unlimited money,Unlimited knowledge,FALSE,n/a,FALSE
,Can only tell the truth,Always tell the lie,FALSE,n/a,FALSE
,Eat anything and never gain weight,Won't feel tired and never need to sleep,FALSE,n/a,FALSE
,Live in a world with no problems,Lve in a world where you rule,FALSE,n/a,FALSE
Better anime?,Jojo bizzar adventures,Demon slayer,FALSE,n/a,FALSE
,Control time,Change your appearance at will,FALSE,n/a,FALSE
,Smartest person in the world,Funniest person in the world,FALSE,n/a,FALSE
Better superpower?,Teleport anywhere instantly,Read minds,FALSE,n/a,FALSE
OG meme,Doge ,Nyan cat,FALSE,n/a,FALSE
Pick one...,live without music,live without movies,FALSE,n/a,FALSE
,Never use technology again,Never leave your home again,FALSE,n/a,FALSE
Winner of the fight,Jake Paul,Mike Tyson,FALSE,n/a,FALSE
,Marrying a rich but toxic person,Marrying a poor but loving person,FALSE,n/a,FALSE
,See 10 minutes into the future,See 10 years into the future,FALSE,n/a,FALSE
,Only watch anime ,Only watch k-dramas ,FALSE,n/a,FALSE
,Be able to breath in water,Be able to breath in space,FALSE,n/a,FALSE
,New Jeans,Taylor Swift,FALSE,n/a,FALSE
What's more important,Skincare,Makeup,FALSE,n/a,FALSE
,Superpower,Magic,FALSE,n/a,FALSE
Better season,autumn/winter,summer/spring,FALSE,n/a,FALSE
,Always being early ,Always being late,FALSE,n/a,FALSE
,Know when you will die,Know how you will die,FALSE,n/a,FALSE
,Read mind,Go invisible,FALSE,n/a,FALSE
Do you want,To love,To be loved,FALSE,n/a,FALSE
,Cat person,Dog person ,FALSE,n/a,FALSE
,Reincarnation ,Time Travel,FALSE,n/a,FALSE
,Have unlimited friends but they all fake,Have one friend who really care about you,FALSE,n/a,FALSE
,IQ,Photographic memory ,FALSE,n/a,FALSE
,You can talk with your future self,You can speak to your past self,FALSE,n/a,FALSE
Which is more sad,Can't listen to your fav music,Can't read your fav books,FALSE,n/a,FALSE
,Travel evrywhere you want,Never visit your town again,FALSE,n/a,FALSE
,Have a comfortable job,Own a high ranking company but have no control over it,FALSE,n/a,FALSE
Weird power but…,You get unlimited pineapple juice for the rest of your life for free but you need to make a front flip every time you want a glass of it  ,You get unlimited barbecue chips for the rest of your life for free but you get shot with a paintball gun whenever you want to take a bag of it,FALSE,n/a,FALSE
Pick only one,Love,Money,FALSE,n/a,FALSE
Who could you count on?,Choose your friends,Choose your family,FALSE,n/a,FALSE
,be yourself,be someone else,FALSE,n/a,FALSE
Edit photos in…,Warm colors,Cool colors,FALSE,n/a,FALSE
