Topic1,Topic2,Correlation
Current Events,Global Politics,0.9927952127256422
Celebs,Kpop,0.9913592669909673
Family,Friendship,0.9874345339264124
Global Politics,US Politics,0.9862750326691473
Business and Finance,Personal finance tips,0.9834170629434654
Current Events,US Politics,0.9778428343373307
Anime,TV shows,0.9435404622282512
Art,New gadgets,0.8940460577387535
Friendship,Travel,0.8811822913397401
Family,Travel,0.8551483307154295
Horoscope,Social justice,0.8146657825584683
New gadgets,Travel,0.7832105915137326
Dating,Family,0.7734102573048344
Dating,Friendship,0.7709757002222447
Art,Travel,0.7523435359433523
Dating,TV shows,0.7474094830614589
Anime,Dating,0.7371725050929481
Gaming,Hypothetical,0.7150308637135437
Fitness,Personal Experiences,0.7116755800455421
Friendship,New gadgets,0.6851789857570484
Art,Friendship,0.6804435674567979
Movies,Music,0.6732196308050999
Family,New gadgets,0.6731964396882175
Art,Family,0.6693108376509233
Kpop,Music,0.6609156547399356
Dating,Travel,0.6594433969589072
Celebs,Music,0.6422661809942606
Anime,Sports,0.6351536569615371
Sports,TV shows,0.6014373618466448
Dating,Sports,0.5502533771798747
Dating,Fashion,0.5442864907984252
Family,TV shows,0.5111585578782528
Friendship,TV shows,0.505239374781087
Anime,Family,0.5039825284052333
Anime,Friendship,0.5003912523674242
Family,Fashion,0.47686119360521173
Fashion,Friendship,0.4726269936231887
Fashion,TV shows,0.4659602829915715
TV shows,Travel,0.46319374028906896
Dating,New gadgets,0.4627323784980049
Fashion,Travel,0.45668631232436174
Art,Dating,0.44737969003814987
Food and dining experiences,Gaming,0.4462881090308869
Anime,Fashion,0.43443284011978345
Anime,Travel,0.4178578978564775
Sports,Travel,0.39464904092557873
Family,Sports,0.3818115174546473
Friendship,Sports,0.3789599088165009
Anime,Life choices,0.3747370751531978
Anime,Nature,0.36657038722598995
Life choices,TV shows,0.36411495360202123
Nature,TV shows,0.3622707329993311
Art,Sports,0.355266844446275
Hypothetical,Mental health,0.3544212281152764
Ethics,Personal Experiences,0.35140865960486584
Ethics,Nature,0.3511785873446848
Dating,Life choices,0.3383018040825225
Dating,Nature,0.33529574553121666
Fashion,New gadgets,0.3303421196232329
New gadgets,TV shows,0.3299940927586126
Fashion,Sports,0.3288607523107496
Art,TV shows,0.3106567658309857
New gadgets,Sports,0.3093711149129287
Art,Fashion,0.2986026142275364
