Topic1,Topic2,Correlation
Anime,Cryptocurrency,
Anime,Dating,0.7371725050929481
Anime,Friendship,0.5003912523674242
Anime,Fashion,0.43443284011978345
Anime,LGBTQ+,
Anime,Life choices,0.3747370751531978
Anime,News,
Anime,Painting,
Anime,Sports,0.6351536569615371
Anime,Family,0.5039825284052333
Anime,Stock market updates,
Anime,TV shows,0.9435404622282512
Anime,Travel,0.4178578978564775
Anime,Music,-0.37604787456277666
Anime,Nature,0.36657038722598995
Anime,New gadgets,0.29142779306199207
Anime,Kpop,-0.2875848927557867
Anime,Art,0.28621306149864734
Anime,Fitness,-0.25901849584732284
Anime,Personal finance tips,0.2539342026433863
Anime,Business and Finance,0.24594787596164364
Anime,Celebs,-0.2229467785144862
Anime,Movies,-0.2139082428559665
Anime,Gaming,-0.16262699570026695
Anime,Mental health,0.10194327665472729
Anime,Personal Experiences,-0.09123294611920423
Anime,Hypothetical,0.08375773499487643
Anime,Food and dining experiences,-0.08070643895469724
Anime,Horoscope,-0.032710423362413255
Anime,Global Politics,0.02200657608255149
Anime,US Politics,0.021335316686193834
Anime,Software updates,0.020720324293262052
Anime,Ethics,-0.02052834060914537
Anime,Current Events,0.02019458023268043
Anime,Social justice,-0.01733266879255828
Anime,Writing,-0.0024360485857649328
Art,Cryptocurrency,
Art,LGBTQ+,
Art,New gadgets,0.8940460577387535
Art,Music,-0.20928263324639051
Art,News,
Art,Painting,
Art,Sports,0.355266844446275
Art,Stock market updates,
Art,Travel,0.7523435359433523
Art,Friendship,0.6804435674567979
Art,Family,0.6693108376509233
Art,Dating,0.44737969003814987
Art,TV shows,0.3106567658309857
Art,Fashion,0.2986026142275364
Art,Business and Finance,0.18756637740518872
Business and Finance,Cryptocurrency,
Business and Finance,Fashion,0.2260824755115941
Business and Finance,Dating,0.1977549300226528
Business and Finance,Family,0.1976975391245641
Art,Life choices,0.1882806524441748
Art,Personal finance tips,0.18644552767582967
Art,Fitness,-0.18080356520993843
Art,Kpop,-0.17792643287996482
Business and Finance,Celebs,-0.16470173542820382
Art,Celebs,-0.14487012157751436
Art,Movies,-0.14106046694476151
