post_id,Date Added,Caption,Option 1,Option 2,Sponsor?,id,UGC?,# Views,# Resps,% R/V,% Opt1,% Opt2,# Likes,# Comments,# Bookmarks,# Skips,Tags,Polarization Score,Engagement Score,Virality Index
1716990568322-gil5r62W,2024-05-29 00:00:00,For an app…,Want personalized features even though personal data is collected,Generic functionality but no data collection,True,SnapInput,False,555,294,0.5297297297297298,0.5204081632653061,0.4795918367346938,11,5,0,0,"Ethics, Personal Experiences",0.9591836734693877,71.00653226567279,123.7548991992546
1717398117529-w2tcau1n,2024-06-03 00:00:00,,Always feel too hot,Always feel too cold,False,,False,495,390,0.7878787878787878,0.2512820512820513,0.7487179487179487,7,4,0,0,"Fitness, Personal Experiences",0.5025641025641026,82.59771986658278,110.94828989993708
1716957101156-rnUj17j0,2024-05-29 00:00:00,,Speak a new language fluently,Talk to an animal,False,,False,474,385,0.8122362869198312,0.5844155844155844,0.4155844155844156,9,1,0,0,Nature,0.8311688311688312,75.52054017214802,136.640405129111
1717398092115-8z8RLXwb,2024-06-03 00:00:00,,Eat anything and never gain weight,Won't feel tired and never need to sleep,False,,False,441,376,0.8526077097505669,0.6808510638297872,0.3191489361702128,2,1,0,0,"Fitness, Personal Experiences",0.6382978723404256,75.70671009485645,116.78003257114233
1716957076087-9wpIpgRR,2024-05-29 00:00:00,,Can only tell the truth,Always tell the lie,False,,False,434,339,0.7811059907834101,0.7699115044247787,0.2300884955752212,6,2,0,0,"Ethics, Hypothetical, Life choices",0.4601769911504425,67.53193407450436,89.64895055587829
1716887394408-6g4jR7jr,2024-05-28 00:00:00,,Unlimited money,Unlimited knowledge,False,,False,433,375,0.8660508083140878,0.456,0.544,7,1,0,0,"Business and Finance, Personal finance tips",0.9119999999999999,70.88680042502418,138.6651003187681
1716887370455-bwj2B9S3,2024-05-28 00:00:00,,Live in a world with no problems,Lve in a world where you rule,False,,False,407,359,0.8820638820638821,0.8050139275766016,0.1949860724233983,6,0,0,0,"Hypothetical, Life choices",0.38997214484679665,67.03521566530698,85.27641174898024
1717398056145-qVeiVUop,2024-06-03 00:00:00,,Smartest person in the world,Funniest person in the world,False,,False,397,357,0.8992443324937027,0.7815126050420168,0.2184873949579832,1,2,0,0,"Life choices, Personal Experiences",0.4369747899159664,70.70364820579486,92.02773615434614
1717739092043-i5MhiYIl,2024-06-07 00:00:00,Pick one...,live without music,live without movies,False,,False,393,316,0.8040712468193384,0.170886075949367,0.8291139240506329,7,13,0,0,"Movies, Music",0.3417721518987341,73.9385164540165,82.45388734051237
1716782931949-CjzLHaV7,2024-05-27 00:00:00,Better anime?,Jojo bizzar adventures,Demon slayer,False,,False,387,290,0.7493540051679587,0.2379310344827586,0.7620689655172413,7,2,0,0,"Anime, TV shows",0.4758620689655173,57.921007900150535,77.94075592511291
