persona_id,first_interaction,last_interaction,num_active_days,Engagement_Score
0065610346c9-652fe6f1,2024-06-18,2024-06-18,1,0.2
00c869cdd829-b39765e6,2024-06-13,2024-06-13,1,24.6
0134a567360a-cffe61c9,2024-06-01,2024-06-01,1,3.4000000000000004
01a606d27c82-38465b0c,2024-06-19,2024-06-19,1,8.8
01b2b2c85b55-80892e3c,2024-06-19,2024-06-19,1,14.000000000000002
0264308ac62f-92211a1d,2024-06-21,2024-06-21,1,0.6000000000000001
02d7ef552513-b24667d8,2024-06-13,2024-06-13,1,24.200000000000003
02fe6104fb7c-23b7e6e8,2024-06-10,2024-06-10,1,8.600000000000001
0398b19b9714-39041e4f,2024-06-01,2024-06-01,1,0.2
03f3eacd5368-c767cc86,2024-06-10,2024-06-10,1,4.0
040e8b3057ca-02fee5f3,2024-06-04,2024-06-04,1,22.200000000000003
0550c62c4b08-7b58278b,2024-06-14,2024-06-14,1,1.4
055fd578e9f5-7d07f5fd,2024-06-15,2024-06-15,1,5.6
05be3f23268d-222ec194,2024-06-15,2024-06-15,1,0.6000000000000001
05e0ee3fe8fa-dc501530,2024-06-21,2024-06-21,1,28.200000000000003
0631c8e52a90-41a8753f,2024-06-07,2024-06-07,1,22.200000000000003
065fc665b503-68bdf462,2024-06-07,2024-06-07,1,0.2
06892b21ee2e-c2bd4cbd,2024-06-14,2024-06-14,1,5.0
074f2efb3161-b1f58938,2024-06-08,2024-06-08,1,23.400000000000002
0795e71008e2-fb1800e3,2024-06-17,2024-06-17,1,1.0
07ae9a28276b-e65f7f6c,2024-06-03,2024-06-03,1,20.200000000000003
07c388f56c93-55f7b000,2024-06-06,2024-06-06,1,0.6000000000000001
09300b9d90cb-ae956201,2024-06-16,2024-06-16,1,11.200000000000001
09689af49b79-da1e2461,2024-06-10,2024-06-10,1,3.8000000000000007
0aa9a2e1e93c-c46bb8a9,2024-06-10,2024-06-10,1,2.0
0ad3221c3f24-c6e019b0,2024-06-16,2024-06-16,1,0.2
0aed12756836-ce307148,2024-06-09,2024-06-09,1,0.2
0b09e7dfeb02-feb4b3c2,2024-06-10,2024-06-10,1,0.6000000000000001
0b0fccf7254d-20cbeb6f,2024-06-21,2024-06-21,1,28.200000000000003
0b85adfa5fb6-82422ea6,2024-06-11,2024-06-11,1,17.0
0b8d56663e05-d7e7e631,2024-06-07,2024-06-07,1,0.2
0c41416fbe1c-d609157c,2024-06-11,2024-06-11,1,23.800000000000004
0c7216d6ef34-f1cb0df1,2024-06-17,2024-06-17,1,1.6
0d9ab62326ce-1f0c0251,2024-06-07,2024-06-07,1,1.2000000000000002
0dfcf19c4113-41caac5a,2024-06-16,2024-06-16,1,21.0
0e20e2de0893-a40ddb7d,2024-06-04,2024-06-04,1,0.4
1072c6aa2d72-b3542448,2024-06-07,2024-06-07,1,0.2
107adc3102d5-d38ecfea,2024-06-20,2024-06-20,1,4.6000000000000005
10b598ab419a-8b914d45,2024-06-15,2024-06-15,1,11.200000000000001
10fa2ad2633d-e4bef201,2024-06-21,2024-06-21,1,10.600000000000001
11f59a5e610b-6b2cf94d,2024-06-12,2024-06-12,1,5.2
124793ea60d8-298dc929,2024-06-01,2024-06-01,1,0.6000000000000001
1269397a79b0-06afe359,2024-06-09,2024-06-09,1,23.400000000000002
12b67894bee0-717b4a46,2024-06-19,2024-06-19,1,3.0
12fb670db142-e9eab7e7,2024-06-09,2024-06-09,1,22.200000000000003
1306452e7a19-0339faae,2024-06-19,2024-06-19,1,0.2
13764d50c286-c6202da7,2024-06-03,2024-06-03,1,10.8
13884ae309c1-ab857849,2024-06-15,2024-06-15,1,18.8
13c5f828c09d-acf9b9ae,2024-06-05,2024-06-05,1,3.2
13df4657fe07-ae27cdfc,2024-06-19,2024-06-19,1,27.800000000000004
142a27b558a1-45935ab9,2024-06-06,2024-06-06,1,1.2000000000000002
1477faed44db-0d1e9d41,2024-06-06,2024-06-06,1,1.4000000000000001
148ab19456c9-7c25c17c,2024-06-12,2024-06-12,1,0.4
14ac5da3d2d0-2791c233,2024-06-13,2024-06-13,1,2.4000000000000004
14b3c5143d34-7eb9024f,2024-06-03,2024-06-03,1,22.700000000000003
14e8218ddc43-f9328d62,2024-06-19,2024-06-19,1,1.6
152f8f9f8c96-d360cb01,2024-06-19,2024-06-19,1,2.6
15b7edf265ad-39e3417a,2024-06-19,2024-06-19,1,0.2
15ca65c40b57-14c525a0,2024-06-04,2024-06-04,1,1.0
15f12c0bd0e2-85b12317,2024-06-20,2024-06-20,1,0.2
15fd31056a2e-083839b6,2024-06-10,2024-06-10,1,23.400000000000002
16795ff3e2a3-cbd6b747,2024-06-09,2024-06-09,1,7.800000000000001
16c763d48a53-34149a33,2024-06-13,2024-06-13,1,4.800000000000001
1737ea6300a0-03c251d1,2024-06-20,2024-06-20,1,27.800000000000004
176c4f0cea50-2e46de1a,2024-06-19,2024-06-19,1,0.4
177ec4b2d887-2f59fd49,2024-06-08,2024-06-08,1,23.400000000000002
17bb798da5f5-32d38582,2024-06-14,2024-06-14,1,5.2
17bbf6e4f4ef-9ecb7cd8,2024-06-02,2024-06-02,1,0.6000000000000001
17c794d4347f-0f5f0e70,2024-06-10,2024-06-10,1,14.600000000000001
17f16f62dee2-dcec959b,2024-06-04,2024-06-04,1,0.4
180139ea52d2-fa10d67a,2024-06-05,2024-06-05,1,0.4
180a22c5e255-89fbd722,2024-06-17,2024-06-17,1,6.800000000000001
184e4704911e-f930a883,2024-06-02,2024-06-02,1,1.8
193641558938-72dc663c,2024-06-12,2024-06-12,1,1.2000000000000002
198b0018a2c5-5034cc15,2024-06-21,2024-06-21,1,13.2
19b7f8e3d745-fa4ed60e,2024-06-16,2024-06-16,1,17.400000000000002
1a121e0de134-a988a5dc,2024-06-08,2024-06-08,1,18.2
1a124dc188d5-bf477d04,2024-06-11,2024-06-11,1,1.0
1a7654a74dbc-0ef53b7a,2024-06-21,2024-06-21,1,3.0
1a86b15d37b6-4ce88149,2024-06-13,2024-06-13,1,3.0
1a8970613a8b-43e01434,2024-06-06,2024-06-06,1,0.6000000000000001
1acbf9e46133-817ae893,2024-06-04,2024-06-04,1,3.2
1b1869837d5e-8bb92ade,2024-06-18,2024-06-18,1,28.700000000000003
1be2c18e60a7-329360ee,2024-06-04,2024-06-04,1,2.4000000000000004
1c03bd39932a-325e0f99,2024-06-13,2024-06-13,1,0.6000000000000001
1c6ca8d83f63-e2170868,2024-06-11,2024-06-11,1,5.0
1cf063910533-676019ae,2024-06-08,2024-06-08,1,4.800000000000001
1d8c324045eb-860f18c8,2024-06-10,2024-06-10,1,2.0
1da039748f12-42934e7d,2024-06-08,2024-06-08,1,0.8
1db6ca29c308-6cdd3d41,2024-06-20,2024-06-20,1,0.8
1de8a3f516b4-e86fda05,2024-06-15,2024-06-15,1,8.600000000000001
1eb2e0aaa8f4-aab69da6,2024-06-20,2024-06-20,1,27.4
1f2b8ce6c871-f98a096e,2024-06-10,2024-06-10,1,4.4
1f596dd601ba-b2efd0f9,2024-06-13,2024-06-13,1,0.4
1f8cbde88599-13e3c851,2024-06-02,2024-06-02,1,9.0
1fa5b92690ee-f160b287,2024-06-17,2024-06-17,1,2.6
1fdcf77d38dd-3137e913,2024-06-15,2024-06-15,1,0.4
200b7b14133d-ccf22dfa,2024-06-13,2024-06-13,1,5.0
202f571e30af-e6a5509a,2024-06-03,2024-06-03,1,7.800000000000001
2033ba8f9d06-b05e9186,2024-06-12,2024-06-12,1,16.8
205dd5d7dc52-e9766c67,2024-06-11,2024-06-11,1,2.0
2076d39a644e-2ca3877e,2024-06-06,2024-06-06,1,7.2
20f0bf51c32f-b4867af8,2024-06-05,2024-06-05,1,0.2
210789f70d3c-df32f122,2024-06-01,2024-06-01,1,5.6000000000000005
220e5794e36e-3d616f1b,2024-06-16,2024-06-16,1,24.6
224b7cdc36c8-60921525,2024-06-03,2024-06-03,1,0.2
246b985bbddb-64f33c23,2024-06-19,2024-06-19,1,2.6
25349efddd24-5b92bcf0,2024-06-13,2024-06-13,1,3.0
25ad151f8e2c-6759aafa,2024-06-19,2024-06-19,1,0.2
26034a2634ae-817c85f2,2024-06-15,2024-06-15,1,3.2
2735d25edfbf-4a953466,2024-06-09,2024-06-09,1,3.8000000000000007
2794e1e1491b-21332c93,2024-06-08,2024-06-08,1,0.2
28443d812b2c-c5fc7faf,2024-06-15,2024-06-15,1,0.2
284f7807ac06-5e88ac68,2024-06-08,2024-06-08,1,11.8
286d3fe6a5c3-540d8cb5,2024-06-10,2024-06-10,1,2.6
2887a72c7255-27ab93cc,2024-06-11,2024-06-11,1,0.2
292bf13fa93a-ab3147f7,2024-06-06,2024-06-06,1,16.2
295e6bf9464e-6d776295,2024-06-02,2024-06-02,1,2.2
299bbe58ad3a-def23ab3,2024-06-11,2024-06-11,1,3.2
2aa22b5c2feb-a79cd374,2024-06-04,2024-06-04,1,22.200000000000003
2ac16d7bd89f-27e9ee6f,2024-06-03,2024-06-03,1,0.6000000000000001
2ac30e828c2b-3af869c9,2024-06-02,2024-06-02,1,1.2000000000000002
2af253d66304-87fd2c3c,2024-06-06,2024-06-06,1,0.8
2b1336178d04-c94e3be9,2024-06-16,2024-06-16,1,3.0
2b87262234fe-f1f641ff,2024-06-03,2024-06-03,1,21.8
2c3ff6010c4c-68b67881,2024-06-10,2024-06-10,1,8.2
2c866b5e7d3e-6e39ddb2,2024-06-05,2024-06-05,1,3.4000000000000004
2d023d2a3082-456a9239,2024-06-08,2024-06-08,1,12.4
2d1ffd753390-7a8fc23e,2024-06-21,2024-06-21,1,1.0
2d318414aa05-f4fbb9cf,2024-06-19,2024-06-19,1,2.8000000000000003
2dea1c748b12-b7d7baf7,2024-06-18,2024-06-18,1,2.0
2e7898f7f5ec-b5279e84,2024-06-02,2024-06-02,1,0.2
2e9482be5c5c-f926eda0,2024-06-19,2024-06-19,1,13.4
2ef7a060c7a8-4d4475ae,2024-06-01,2024-06-01,1,0.4
2efbfa326bfc-0742b56a,2024-06-11,2024-06-11,1,23.800000000000004
2f24eacf1c7e-33f1429d,2024-06-14,2024-06-14,1,15.200000000000001
3063642bc3f0-41f0eae5,2024-06-12,2024-06-12,1,0.4
3163e1d2b468-157f018d,2024-06-01,2024-06-01,1,13.400000000000002
3190250e4a4b-f3c7ce7e,2024-06-21,2024-06-21,1,1.4000000000000001
321b661926a2-ade866ae,2024-06-11,2024-06-11,1,24.6
327482d5792d-eb8e00d7,2024-06-02,2024-06-02,1,19.8
32b3f0b01e5a-825f5e38,2024-06-04,2024-06-04,1,0.4
32bf8e3ff6fa-f3f3839e,2024-06-10,2024-06-10,1,3.8000000000000007
32ec365a0f28-de2a346f,2024-06-09,2024-06-09,1,14.600000000000001
331d78eb3d82-050caeae,2024-06-08,2024-06-08,1,8.4
3321a6ba0068-85faa7e6,2024-06-17,2024-06-17,1,0.2
3467b853bc11-c7b06066,2024-06-03,2024-06-03,1,0.6000000000000001
346e4a25dac4-5c5220e8,2024-06-15,2024-06-15,1,5.0
3495897fe903-d9241d33,2024-06-03,2024-06-19,4,8.600000000000001
3516670e9814-d2afc8aa,2024-06-05,2024-06-05,1,5.2
3533a1aa6f05-176be127,2024-06-02,2024-06-02,1,0.2
361bb79ef68e-5131a1f5,2024-06-06,2024-06-06,1,2.8000000000000003
366d293a43c8-8860cf3c,2024-06-03,2024-06-03,1,0.6000000000000001
