persona_id,num_posts_viewed,num_posts_voted,num_posts_liked,num_posts_commented,num_posts_skipped
0065610346c9-652fe6f1,1,0,0,0,0
00c869cdd829-b39765e6,41,41,0,0,0
0134a567360a-cffe61c9,7,5,0,0,0
01a606d27c82-38465b0c,16,14,0,0,0
01b2b2c85b55-80892e3c,24,23,0,0,0
0264308ac62f-92211a1d,1,1,0,0,0
02d7ef552513-b24667d8,41,40,0,0,0
02fe6104fb7c-23b7e6e8,15,14,0,0,0
0398b19b9714-39041e4f,1,0,0,0,0
03f3eacd5368-c767cc86,8,6,0,0,0
040e8b3057ca-02fee5f3,37,37,0,0,0
0550c62c4b08-7b58278b,5,1,0,0,0
055fd578e9f5-7d07f5fd,8,6,0,1,0
05be3f23268d-222ec194,1,1,0,0,0
05e0ee3fe8fa-dc501530,47,47,0,0,0
0631c8e52a90-41a8753f,37,37,0,0,0
065fc665b503-68bdf462,1,0,0,0,0
06892b21ee2e-c2bd4cbd,9,8,0,0,0
074f2efb3161-b1f58938,39,39,0,0,0
0795e71008e2-fb1800e3,5,0,0,0,0
07ae9a28276b-e65f7f6c,35,33,0,0,0
07c388f56c93-55f7b000,1,1,0,0,0
09300b9d90cb-ae956201,24,16,0,0,0
09689af49b79-da1e2461,7,6,0,0,0
0aa9a2e1e93c-c46bb8a9,4,3,0,0,0
0ad3221c3f24-c6e019b0,1,0,0,0,0
0aed12756836-ce307148,1,0,0,0,0
0b09e7dfeb02-feb4b3c2,1,1,0,0,0
0b0fccf7254d-20cbeb6f,47,47,0,0,0
0b85adfa5fb6-82422ea6,29,28,0,0,0
0b8d56663e05-d7e7e631,1,0,0,0,0
0c41416fbe1c-d609157c,41,39,0,0,0
0c7216d6ef34-f1cb0df1,4,2,0,0,0
0d9ab62326ce-1f0c0251,4,1,0,0,0
0dfcf19c4113-41caac5a,41,32,0,0,0
0e20e2de0893-a40ddb7d,2,0,0,0,0
1072c6aa2d72-b3542448,1,0,0,0,0
107adc3102d5-d38ecfea,9,7,0,0,0
10b598ab419a-8b914d45,22,17,0,0,0
10fa2ad2633d-e4bef201,19,17,0,0,0
11f59a5e610b-6b2cf94d,10,8,0,0,0
124793ea60d8-298dc929,3,0,0,0,0
1269397a79b0-06afe359,39,39,0,0,0
12b67894bee0-717b4a46,7,4,0,0,0
12fb670db142-e9eab7e7,39,36,0,0,0
1306452e7a19-0339faae,1,0,0,0,0
13764d50c286-c6202da7,24,15,0,0,0
13884ae309c1-ab857849,32,31,0,0,0
13c5f828c09d-acf9b9ae,8,4,0,0,0
13df4657fe07-ae27cdfc,47,46,0,0,0
142a27b558a1-45935ab9,2,2,0,0,0
1477faed44db-0d1e9d41,3,2,0,0,0
148ab19456c9-7c25c17c,2,0,0,0,0
14ac5da3d2d0-2791c233,6,3,0,0,0
14b3c5143d34-7eb9024f,37,37,1,0,0
14e8218ddc43-f9328d62,4,2,0,0,0
152f8f9f8c96-d360cb01,5,4,0,0,0
15b7edf265ad-39e3417a,1,0,0,0,0
15ca65c40b57-14c525a0,3,1,0,0,0
15f12c0bd0e2-85b12317,1,0,0,0,0
15fd31056a2e-083839b6,39,39,0,0,0
16795ff3e2a3-cbd6b747,15,12,0,0,0
16c763d48a53-34149a33,10,7,0,0,0
1737ea6300a0-03c251d1,47,46,0,0,0
176c4f0cea50-2e46de1a,2,0,0,0,0
177ec4b2d887-2f59fd49,39,39,0,0,0
17bb798da5f5-32d38582,10,8,0,0,0
17bbf6e4f4ef-9ecb7cd8,3,0,0,0,0
17c794d4347f-0f5f0e70,29,22,0,0,0
17f16f62dee2-dcec959b,2,0,0,0,0
180139ea52d2-fa10d67a,2,0,0,0,0
180a22c5e255-89fbd722,14,10,0,0,0
184e4704911e-f930a883,9,0,0,0,0
193641558938-72dc663c,4,1,0,0,0
198b0018a2c5-5034cc15,26,20,0,0,0
