"post_id","Date Added","Caption","Option 1","Option 2","Sponsor?","id","UGC?","# Views","# Resps","% R/V","% Opt1","% Opt2","# Likes","# Comments","# Bookmarks","# Skips"
"1716990568322-gil5r62W","2024-05-29 00:00:00","For an app…","Want personalized features even though personal data is collected","Generic functionality but no data collection","True","SnapInput","False",555,294,0.5297297297297298,0.5204081632653061,0.47959183673469385,11,5,0,0
"1717398117529-w2tcau1n","2024-06-03 00:00:00","","Always feel too hot","Always feel too cold","False","n/a","False",495,390,0.7878787878787878,0.2512820512820513,0.7487179487179487,7,4,0,0
"1716957101156-rnUj17j0","2024-05-29 00:00:00","","Speak a new language fluently","Talk to an animal","False","n/a","False",474,385,0.8122362869198312,0.5844155844155844,0.4155844155844156,9,1,0,0
"1717398092115-8z8RLXwb","2024-06-03 00:00:00","","Eat anything and never gain weight","Won't feel tired and never need to sleep","False","n/a","False",441,376,0.8526077097505669,0.6808510638297872,0.3191489361702128,2,1,0,0
"1716957076087-9wpIpgRR","2024-05-29 00:00:00","","Can only tell the truth","Always tell the lie","False","n/a","False",434,339,0.7811059907834101,0.7699115044247787,0.23008849557522124,6,2,0,0
"1716887394408-6g4jR7jr","2024-05-28 00:00:00","","Unlimited money","Unlimited knowledge","False","n/a","False",433,375,0.8660508083140878,0.456,0.544,7,1,0,0
"1716887370455-bwj2B9S3","2024-05-28 00:00:00","","Live in a world with no problems","Lve in a world where you rule","False","n/a","False",407,359,0.8820638820638821,0.8050139275766016,0.19498607242339833,6,0,0,0
"1717398056145-qVeiVUop","2024-06-03 00:00:00","","Smartest person in the world","Funniest person in the world","False","n/a","False",397,357,0.8992443324937027,0.7815126050420168,0.2184873949579832,1,2,0,0
"1717739092043-i5MhiYIl","2024-06-07 00:00:00","Pick one...","live without music","live without movies","False","n/a","False",393,316,0.8040712468193384,0.17088607594936708,0.8291139240506329,7,13,0,0
"1716782931949-CjzLHaV7","2024-05-27 00:00:00","Better anime?","Jojo bizzar adventures","Demon slayer","False","n/a","False",387,290,0.7493540051679587,0.23793103448275862,0.7620689655172413,7,2,0,0
"1716881061814-HVqUMtqr","2024-05-28 00:00:00","","Control time","Change your appearance at will","False","n/a","False",386,346,0.8963730569948186,0.5924855491329479,0.407514450867052,4,0,0,0
"1717398016215-30fuuV61","2024-06-03 00:00:00","","Never use technology again","Never leave your home again","False","n/a","False",373,319,0.8552278820375335,0.3510971786833856,0.6489028213166145,2,1,0,0
"1716880520622-OC2gxL3n","2024-05-28 00:00:00","Better superpower?","Teleport anywhere instantly","Read minds","False","n/a","False",372,341,0.9166666666666666,0.6187683284457478,0.3812316715542522,7,0,0,0
"1716782931297-yCOHTdYf","2024-05-27 00:00:00","OG meme","Doge ","Nyan cat","False","n/a","False",365,265,0.726027397260274,0.30566037735849055,0.6943396226415094,5,1,0,0
"1717739065096-k5hf7RoO","2024-06-07 00:00:00","","See 10 minutes into the future","See 10 years into the future","False","n/a","False",360,295,0.8194444444444444,0.3220338983050847,0.6779661016949152,5,7,0,0
"1716782930677-b4FkHh7A","2024-05-27 00:00:00","Winner of the fight","Jake Paul","Mike Tyson","False","n/a","False",355,205,0.5774647887323944,0.2048780487804878,0.7951219512195122,6,1,0,0
"1718076610245-nAU5DZ2K","2024-06-11 00:00:00","","New Jeans","Taylor Swift","False","n/a","False",342,234,0.6842105263157895,0.6794871794871795,0.32051282051282054,4,11,0,0
"1716782930062-ouRsmvC5","2024-05-27 00:00:00","","Marrying a rich but toxic person","Marrying a poor but loving person","False","n/a","False",334,269,0.8053892215568862,0.3345724907063197,0.6654275092936803,5,0,0,0
"1716782929463-yBB8l3mA","2024-05-27 00:00:00","","Only watch anime ","Only watch k-dramas ","False","n/a","False",320,272,0.85,0.5992647058823529,0.4007352941176471,7,0,0,0
"1716782928928-86w70PsL","2024-05-27 00:00:00","","Be able to breath in water","Be able to breath in space","False","n/a","False",315,268,0.8507936507936508,0.6529850746268657,0.34701492537313433,4,0,0,0
"1718076554943-cgbfansX","2024-06-11 00:00:00","","Read mind","Go invisible","False","n/a","False",297,231,0.7777777777777778,0.5627705627705628,0.43722943722943725,6,7,0,0
"1716782928348-1RA1yY3k","2024-05-27 00:00:00","What's more important","Skincare","Makeup","False","n/a","False",292,264,0.9041095890410958,0.9393939393939394,0.06060606060606061,3,0,0,1
"1716782927592-4Fg2GOoW","2024-05-27 00:00:00","","Superpower","Magic","False","n/a","False",286,253,0.8846153846153846,0.4426877470355731,0.5573122529644269,3,0,0,0
"1716782926964-oW6vR7wF","2024-05-27 00:00:00","Better season","autumn/winter","summer/spring","False","n/a","False",279,259,0.9283154121863799,0.7413127413127413,0.25868725868725867,2,0,0,0
